Date,ADS_Index
1962:04:17,0.645508
1962:04:18,0.624452
1962:04:19,0.601531
1962:04:20,0.576738
1962:04:21,0.550065
1962:04:22,0.521504
1962:04:23,0.491045
1962:04:24,0.458679
1962:04:25,0.424397
1962:04:26,0.388187
1962:04:27,0.350037
1962:04:28,0.309936
1962:04:29,0.267872
1962:04:30,0.223831
1962:05:01,0.177798
1962:05:02,0.133377
1962:05:03,0.090554
1962:05:04,0.0493146
1962:05:05,0.0096462
1962:05:06,-0.0284636
1962:05:07,-0.0650269
1962:05:08,-0.100055
1962:05:09,-0.133559
1962:05:10,-0.16555
1962:05:11,-0.196037
1962:05:12,-0.22503
1962:05:13,-0.252538
1962:05:14,-0.27857
1962:05:15,-0.303134
1962:05:16,-0.326238
1962:05:17,-0.347889
1962:05:18,-0.368093
1962:05:19,-0.386858
1962:05:20,-0.404189
1962:05:21,-0.420091
1962:05:22,-0.43457
1962:05:23,-0.44763
1962:05:24,-0.459275
1962:05:25,-0.469508
1962:05:26,-0.478334
1962:05:27,-0.485755
1962:05:28,-0.491772
1962:05:29,-0.496389
1962:05:30,-0.499606
1962:05:31,-0.501424
1962:06:01,-0.501845
1962:06:02,-0.501009
1962:06:03,-0.498916
1962:06:04,-0.495565
1962:06:05,-0.490956
1962:06:06,-0.485087
1962:06:07,-0.477956
1962:06:08,-0.469561
1962:06:09,-0.459899
1962:06:10,-0.448967
1962:06:11,-0.436762
1962:06:12,-0.42328
1962:06:13,-0.408516
1962:06:14,-0.392467
1962:06:15,-0.375126
1962:06:16,-0.356489
1962:06:17,-0.33655
1962:06:18,-0.315302
1962:06:19,-0.292739
1962:06:20,-0.268854
1962:06:21,-0.243638
1962:06:22,-0.217085
1962:06:23,-0.189186
1962:06:24,-0.159932
1962:06:25,-0.129314
1962:06:26,-0.0973223
1962:06:27,-0.0639467
1962:06:28,-0.0291768
1962:06:29,0.00699816
1962:06:30,0.0445897
1962:07:01,0.0836096
1962:07:02,0.120665
1962:07:03,0.155768
1962:07:04,0.18893
1962:07:05,0.22016
1962:07:06,0.249469
1962:07:07,0.276865
1962:07:08,0.302359
1962:07:09,0.325956
1962:07:10,0.347666
1962:07:11,0.367494
1962:07:12,0.385447
1962:07:13,0.401531
1962:07:14,0.415751
1962:07:15,0.42811
1962:07:16,0.438614
1962:07:17,0.447265
1962:07:18,0.454066
1962:07:19,0.459019
1962:07:20,0.462125
1962:07:21,0.463387
1962:07:22,0.462803
1962:07:23,0.460375
1962:07:24,0.4561
1962:07:25,0.449978
1962:07:26,0.442007
1962:07:27,0.432185
1962:07:28,0.420508
1962:07:29,0.406972
1962:07:30,0.391574
1962:07:31,0.374308
1962:08:01,0.355169
1962:08:02,0.337107
